Unnamed: 0,movie_id,original_language,original_title,popularity,release_date,title,vote_average,vote_count,genres
14376,670428,en,Psycho Goreman,19.123,2020-10-29,Psycho Goreman,6.0,275,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 35, 'name': 'Comedy'}, {'id': 27, 'name': 'Horror'}]"
14377,23827,en,Paranormal Activity,34.812,2007-09-14,Paranormal Activity,6.0,4507,"[{'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}]"
14378,840882,en,The Weekend Away,27.373,2022-03-03,The Weekend Away,6.0,563,"[{'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}]"
14379,555974,en,Brahms: The Boy II,22.569,2020-02-20,Brahms: The Boy II,6.0,1096,"[{'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]"
14380,174323,en,G.B.F.,0.6,2013-04-19,G.B.F.,6.0,380,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]"
14381,9569,en,Hard to Kill,16.416,1990-02-09,Hard to Kill,6.0,521,"[{'id': 28, 'name': 'Action'}]"
14382,8831,en,Timecop,13.819,1994-09-15,Timecop,6.0,992,"[{'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}]"
14383,818,en,Austin Powers in Goldmember,21.061,2002-07-26,Austin Powers in Goldmember,6.0,2748,"[{'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 878, 'name': 'Science Fiction'}]"
14384,421473,en,Above Suspicion,17.254,2019-06-20,Above Suspicion,6.0,236,"[{'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]"
14385,346681,en,Wilson,11.962,2017-03-24,Wilson,6.0,320,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]"
14386,43211,it,7 chili in 7 giorni,5.906,1986-12-18,7 Kilos in 7 Days,6.0,218,"[{'id': 35, 'name': 'Comedy'}]"
14387,869617,fr,Friendzone,10.467,2021-09-29,Friendzone,6.0,237,"[{'id': 10749, 'name': 'Romance'}, {'id': 35, 'name': 'Comedy'}]"
14388,551238,en,D-Railed,9.057,2018-12-01,D-Railed,6.0,257,"[{'id': 27, 'name': 'Horror'}]"
14389,442249,en,The First Purge,70.248,2018-07-04,The First Purge,6.0,3541,"[{'id': 27, 'name': 'Horror'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]"
14390,311324,en,The Great Wall,68.611,2016-12-16,The Great Wall,6.0,4576,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}]"
14391,97051,en,Would You Rather,11.265,2012-10-14,Would You Rather,6.0,823,"[{'id': 53, 'name': 'Thriller'}, {'id': 27, 'name': 'Horror'}]"
14392,66118,fr,Case départ,7.942,2011-07-05,Case départ,6.0,412,"[{'id': 35, 'name': 'Comedy'}]"
14393,86597,en,The Tall Man,16.995,2012-03-19,The Tall Man,6.0,1025,"[{'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]"
14394,28302,en,The Swan Princess: The Mystery of the Enchanted Kingdom,12.735,1998-08-04,The Swan Princess: The Mystery of the Enchanted Kingdom,6.0,227,"[{'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}, {'id': 16, 'name': 'Animation'}, {'id': 9648, 'name': 'Mystery'}]"
14395,14248,en,Igor,33.377,2008-09-19,Igor,6.0,506,"[{'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}, {'id': 27, 'name': 'Horror'}]"
14396,8069,en,Barbarella,22.267,1968-10-10,Barbarella,6.0,588,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 12, 'name': 'Adventure'}]"
14397,16279,en,The Great Buck Howard,9.262,2008-01-18,The Great Buck Howard,6.0,207,"[{'id': 35, 'name': 'Comedy'}]"
14398,9096,en,Medicine Man,11.41,1992-02-07,Medicine Man,6.0,312,"[{'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}]"
14399,557946,en,Last Looks,13.981,2022-01-27,Last Looks,6.0,219,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]"
14400,443319,en,Phoenix Forgotten,14.376,2017-04-21,Phoenix Forgotten,6.0,238,"[{'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}, {'id': 878, 'name': 'Science Fiction'}]"
14401,2539,en,Spanglish,18.925,2004-12-17,Spanglish,6.0,1140,"[{'id': 35, 'name': 'Comedy'}]"
14402,542224,en,Gretel & Hansel,16.529,2020-01-30,Gretel & Hansel,6.0,1233,"[{'id': 14, 'name': 'Fantasy'}, {'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}]"
14403,242095,en,The Signal,24.951,2014-03-15,The Signal,6.0,1494,"[{'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}]"
14404,11595,en,Another 48 Hrs.,12.657,1990-06-08,Another 48 Hrs.,6.0,725,"[{'id': 53, 'name': 'Thriller'}, {'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]"
14405,9453,en,Caligola,50.194,1979-08-14,Caligula,6.0,655,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10749, 'name': 'Romance'}]"
14406,2067,en,Mission to Mars,14.16,2000-03-10,Mission to Mars,6.0,1216,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 12, 'name': 'Adventure'}, {'id': 53, 'name': 'Thriller'}]"
14407,862551,en,Me Time,41.627,2022-08-26,Me Time,6.0,662,"[{'id': 35, 'name': 'Comedy'}]"
14408,12663,en,Red Scorpion,8.376,1988-12-24,Red Scorpion,6.0,212,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 10752, 'name': 'War'}]"
14409,9449,en,The Borrowers,10.041,1997-12-05,The Borrowers,6.0,425,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]"
14410,5966,en,Along Came Polly,16.379,2004-01-16,Along Came Polly,6.0,2563,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]"
14411,82,en,Miami Vice,13.002,2006-07-27,Miami Vice,6.0,1517,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]"
14412,462148,fr,Love Addict,4.751,2018-04-18,Love Addict,6.0,326,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]"
14413,76640,en,The Last Stand,24.65,2013-01-12,The Last Stand,6.0,2465,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]"
14414,24961,en,The Wiz,10.664,1978-10-24,The Wiz,6.0,203,"[{'id': 12, 'name': 'Adventure'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10402, 'name': 'Music'}]"
14415,22821,en,The Boondock Saints II: All Saints Day,12.389,2009-11-24,The Boondock Saints II: All Saints Day,6.0,643,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]"
14416,4923,en,Zardoz,10.532,1974-02-06,Zardoz,6.0,364,"[{'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}]"
14417,355506,en,Siren,12.6,2016-12-02,Siren,6.0,222,"[{'id': 27, 'name': 'Horror'}]"
14418,183662,en,Crush,14.592,2013-03-13,Crush,6.0,288,"[{'id': 53, 'name': 'Thriller'}]"
14419,49953,en,A Turtle's Tale: Sammy's Adventures,17.784,2010-08-03,A Turtle's Tale: Sammy's Adventures,6.0,562,"[{'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}]"
14420,41439,en,Saw 3D,32.793,2010-10-21,Saw 3D,6.0,2540,"[{'id': 27, 'name': 'Horror'}, {'id': 80, 'name': 'Crime'}]"
14421,15516,en,The Last House on the Left,16.238,1972-08-30,The Last House on the Left,6.0,562,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]"
